Nome;Gênero;Data Nascimento;Idade;Nível;Escolaridade;Área;Salário;Data Admissão;Data Demissão;Contrato;Motivo Demissão;PCD;Alimentação;Saúde;Odont;Transporte;Creche;Combustível;Benefícios;Mês_admissão;Mês_demissão;Status;Faixa_Idade;Tempo_dias;Faixa_dias
Kylie Rame;Masculino;17/03/1996;28;Supervisor;Ensino Médio;Financeiro;7000;01/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;364;270-364
Dwayne Betun;Masculino;28/02/1988;36;Gerente;Pós-graduação;Recursos Humanos;15000;02/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;Férias;35-44;363;270-364
Chrisse Oxbrough;Masculino;22/09/1988;36;Gerente;Ensino Superior;Marketing;15000;02/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;363;270-364
Kimmy Fardy;Feminino;14/03/1988;36;Gerente;Pós-graduação;Produção;15000;02/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;363;270-364
Mata Steynor;Masculino;28/06/1994;30;Analista Sr;Ensino Técnico;Produção;5000;02/01/2019;;CLT;;;600;600;600;600;;500;2900;1;-;;24-34;363;270-364
Rivi Ofen;Feminino;19/10/1981;43;Supervisor;Ensino Superior;Financeiro;7000;03/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;362;270-364
Ross Tutchell;Masculino;14/05/1991;33;Assistente;Ensino Médio;Produção;2500;03/01/2019;;CLT;;;600;600;600;600;500;;2900;1;-;;24-34;362;270-364
Lisa De Antoni;Feminino;28/04/1961;63;Estagiário;Ensino Médio;Administração;1200;03/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;55-64;362;270-364
Bethena Josephs;Feminino;08/08/1978;46;Analista Jr;Ensino Técnico;TI;3500;03/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;362;270-364
Kellia Koppel;Feminino;19/07/1970;54;Assistente;Ensino Superior;Recursos Humanos;2500;03/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;362;270-364
Briney Eate;Feminino;28/04/1997;27;Gerente;Ensino Médio;TI;15000;03/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;362;270-364
Gene Fisbey;Feminino;12/08/1984;40;Analista Sr;Ensino Técnico;Operações;5000;04/01/2019;;CLT;;;600;600;600;600;;500;2900;1;-;;35-44;361;270-364
Fritz de'-Ancy Willis;Masculino;06/02/1980;44;Supervisor;Ensino Técnico;TI;7000;04/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;Férias;35-44;361;270-364
Lorant Smaleman;Masculino;10/04/1964;60;Assistente;Ensino Médio;Produção;2500;04/01/2019;21/02/2019;CLT;Demissão Voluntária;Sim;600;600;600;600;;;2400;1;2;;55-64;48;1-85
Fan Croneen;Feminino;17/12/1987;37;Gerente;Ensino Técnico;Logística;15000;04/01/2019;25/03/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;1;3;;35-44;80;1-85
Simeon Hlavecek;Masculino;06/06/1993;31;Supervisor;Ensino Superior;TI;7000;04/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;361;270-364
Julio Fernando;Masculino;16/11/1975;49;Coordenador;Ensino Médio;Administração;10000;05/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;360;270-364
Tedman Girone;Masculino;25/01/1984;40;Analista Jr;Ensino Superior;Marketing;3500;05/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;360;270-364
Bell Ginsie;Feminino;07/10/1991;33;Analista Sr;Ensino Superior;Logística;5000;05/01/2019;13/03/2019;CLT;Demissão Voluntária;;600;600;600;600;;500;2900;1;3;;24-34;67;1-85
Lilla Hedworth;Feminino;29/12/1968;56;Estagiário;Ensino Médio;Administração;1200;05/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;55-64;360;270-364
Collie Connechy;Feminino;13/04/1984;40;Coordenador;Ensino Técnico;Logística;10000;05/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;360;270-364
Karine Simonds;Feminino;17/02/1993;31;Estagiário;Ensino Médio;Vendas;1200;06/01/2019;04/05/2019;Estágio;Término de Contrato;;200;200;200;200;;;800;1;5;;24-34;118;86-176
Niven Stembridge;Masculino;08/10/1986;38;Coordenador;Pós-graduação;Vendas;10000;06/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;359;270-364
Avrit Matous;Feminino;26/02/1976;48;Estagiário;Ensino Técnico;Vendas;1200;07/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;45-54;358;270-364
Maurita Ennor;Feminino;09/10/1964;60;Analista Jr;Ensino Superior;Operações;3500;07/01/2019;;CLT;;;600;600;600;600;500;;2900;1;-;;55-64;358;270-364
Lonnie Happel;Feminino;14/03/1993;31;Assistente;Ensino Técnico;Marketing;2500;09/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;356;270-364
Carly Arenson;Feminino;18/09/1990;34;Assistente;Ensino Médio;Recursos Humanos;2500;09/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;356;270-364
Fletch Winmill;Masculino;25/01/1992;32;Analista Jr;Ensino Superior;Recursos Humanos;3500;10/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;355;270-364
Con Pennini;Feminino;02/10/1983;41;Analista Jr;Pós-graduação;Produção;3500;10/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;355;270-364
Clare Laurence;Masculino;06/12/1998;26;Gerente;Ensino Superior;Produção;15000;11/01/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;1;-;;24-34;354;270-364
Toiboid Vezey;Masculino;31/08/1993;31;Estagiário;Ensino Técnico;Marketing;1200;11/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;24-34;354;270-364
Kesley Cowser;Feminino;10/12/1990;34;Supervisor;Ensino Médio;Produção;7000;11/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;354;270-364
Linnie Yeldham;Feminino;02/03/1960;64;Assistente;Ensino Técnico;Vendas;2500;11/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;55-64;354;270-364
Seline Whiffen;Feminino;18/11/1972;52;Coordenador;Ensino Técnico;Marketing;10000;12/01/2019;28/03/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;1;3;;45-54;75;1-85
Gabe Bremmer;Masculino;20/10/1978;46;Supervisor;Mestrado;Vendas;7000;12/01/2019;26/02/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;1;2;;45-54;45;1-85
Herby Rannigan;Masculino;31/12/1985;39;Assistente;Ensino Superior;Marketing;2500;12/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;353;270-364
Cyndy Pretswell;Feminino;15/09/1961;63;Supervisor;Ensino Superior;Logística;7000;12/01/2019;14/03/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;1;3;;55-64;61;1-85
Eadith Rush;Feminino;26/12/1997;27;Analista Sr;Ensino Médio;Logística;5000;12/01/2019;;CLT;;;600;600;600;600;500;500;3400;1;-;;24-34;353;270-364
Meggi Crankshaw;Feminino;25/12/1965;59;Analista Jr;Ensino Técnico;Vendas;3500;12/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;55-64;353;270-364
Averil Mugford;Feminino;25/11/1979;45;Gerente;Ensino Técnico;Administração;15000;12/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;353;270-364
Karisa Blinder;Feminino;04/09/1989;35;Assistente;Ensino Técnico;Produção;2500;13/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;352;270-364
Edwina Avon;Feminino;01/01/1970;54;Assistente;Ensino Médio;TI;2500;13/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;352;270-364
Carley Giraudel;Feminino;01/09/1974;50;Gerente;Pós-graduação;Operações;15000;14/01/2019;28/04/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;500;500;5800;1;4;;45-54;104;86-176
Sephira Bellinger;Feminino;14/04/1967;57;Gerente;Ensino Médio;Vendas;15000;14/01/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;1;-;;55-64;351;270-364
Brendis Woodburne;Masculino;07/04/1976;48;Gerente;Ensino Médio;Recursos Humanos;15000;15/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;350;270-364
Rania Gromley;Feminino;06/03/1967;57;Estagiário;Ensino Técnico;Logística;1200;15/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;55-64;350;270-364
Elsey Dacombe;Feminino;20/06/1991;33;Supervisor;Mestrado;Operações;7000;15/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;350;270-364
